06:30,0,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara
08:15,3,C4,K2,E3,F1,J3,D1,H3,F2,I2,I2,J1,E4,B2,G7,K1,I1,G4,T1,Q3,T2,G1,B4,S3,E2,H1,F3,G6,F4,C1,O1
09:00,4,I2,F1,H4,I2,Q2,D1,L1,K3,F2,H3,G4,K1,S1,G7,B2,T1,Q4,F4,I1,S3,G1,Q3,N1,G6,E2,G3,F3,H1,C1,O1
09:40,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat
10:00,5,I2,F1,H4,I2,G2,T3,L1,K3,F2,H3,G4,K1,S1,H2,D2,T1,O2,F4,I1,S3,T2,D1,N1,G6,O1,G3,F3,H1,G1,E1
10:45,6,I2,F1,H4,I2,G2,T3,L1,K3,F2,H3,G4,K1,S1,H2,D2,T1,O2,F4,I1,S3,T2,D1,N1,G6,O1,G3,F3,H1,G1,E1
11:30,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat
12:30,7,T1,D2,N2,Q2,PK3,E3,K3,Q1,C3,C4,G3,O2,I1,H2,S2,G4,G7,Q4,E4,T2,O1,I2,G2,D1,E2,E1,C1,G1,B4,F3
13:05,8,T1,N2,K2,D2,PK3,L1,E3,H3,C3,C4,G3,O2,I1,E4,S2,G4,G7,K1,H2,T2,O1,I2,G2,D1,E2,E1,C1,G1,B4,H1
13:45,9,G2,G4,K2,D2,C3,L1,E3,H3,G5,PK3,I1,S2,C4,J1,N1,O2,T2,K1,H2,E4,D1,G1,K3,O1,G3,C1,E1,G6,B4,H1
14:20,10,G2,G4,K2,D2,C3,L1,E3,H3,G5,PK3,I1,S2,C4,J1,N1,O2,T2,K1,H2,E4,D1,G1,K3,O1,G3,C1,E1,G6,E2,H1
